OBJECTID,Join_Count,OBJECTID_1,Address,Date,Unit,Price,Prox_Q,Q_0_150,Q_150_300,Q_300_450,Q_450_600,Q_600_750,A_0_150,A_150_300,A_300_450,East,West,mean_proximity,Kernel_RBC,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020
1,2465,1,419 EAST 84TH   STREET,"05/14/2013
",#5,999000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
2,2465,2,419 EAST 84TH   STREET,"02/15/2018
",#5,1495000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
3,2465,3,419 EAST 84TH   STREET,"12/27/2012
",#3,10,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
4,2465,4,419 EAST 84TH   STREET,"12/20/2012
",#3,10,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
5,2465,5,419 EAST 84TH   STREET,"12/04/2012
",#3,10,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
6,2465,6,419 EAST 84TH   STREET,"05/30/1995
",#3 (Condo),229000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
7,2465,7,419 EAST 84TH   STREET,"05/19/2006
",#4,805000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
8,2465,8,419 EAST 84TH   STREET,"05/09/2013
",#4,950000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
9,2465,9,419 EAST 84TH   STREET,"03/14/2018
",#4,1420000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
10,2465,10,419 EAST 84TH   STREET,"02/12/2003
",#2 (Condo),800000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
11,2465,11,419 EAST 84TH   STREET,"06/12/2002
",#1 (Condo),1150000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
12,2465,12,419 EAST 84TH   STREET,"01/13/2011
",#1,2700000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,253,311,313,188,275,285,300,217,163,201,279,282,232,246,218,300,27
13,974,13,172 EAST 71ST STREET,"11/06/2018
",Unknown,6750000,1,0,1,0,0,0,0,1,0,0,1,225,508354.6563,97,108,116,97,105,67,91,62,82,68,73,115,126,118,99,118,22
14,974,14,172 EAST 71ST STREET,"07/31/2018
",Unknown,6750000,1,0,1,0,0,0,0,1,0,0,1,225,508354.6563,97,108,116,97,105,67,91,62,82,68,73,115,126,118,99,118,22
15,4430,15,343 EAST 84TH   STREET,"07/08/2015
",(House - 1 family),5656703,1,0,1,0,0,0,0,0,0,1,0,225,1097099.25,317,265,278,244,278,239,270,224,325,291,371,491,658,807,543,345,105
16,2394,16,417 EAST 84TH   STREET,"03/26/2008
",(House - 4 family),4400000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,260,312,314,187,272,285,296,218,164,199,265,257,226,246,218,281,24
17,2394,17,417 EAST 84TH   STREET,"09/21/2011
",Unknown,4995000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,260,312,314,187,272,285,296,218,164,199,265,257,226,246,218,281,24
18,2394,18,417 EAST 84TH   STREET,"11/27/2017
",(House - 1 family),8300000,1,0,0,1,0,0,0,0,0,1,0,375,618165.125,260,312,314,187,272,285,296,218,164,199,265,257,226,246,218,281,24
19,2187,19,433 EAST 85TH STREET,"06/08/2018
",(House - 3 family),5550000,1,0,0,1,0,0,0,0,0,1,0,375,598828.3125,218,261,309,185,323,302,213,113,121,188,283,302,207,199,253,281,27
20,2187,20,433 EAST 85TH STREET,"06/11/2018
",Unknown,5750000,1,0,0,1,0,0,0,0,0,1,0,375,598828.3125,218,261,309,185,323,302,213,113,121,188,283,302,207,199,253,281,27
21,2187,21,433 EAST 85TH STREET,"10/16/2017
",#1,6850000,1,0,0,1,0,0,0,0,0,1,0,375,598828.3125,218,261,309,185,323,302,213,113,121,188,283,302,207,199,253,281,27
22,1370,22,214 EAST 70TH   STREET,"08/11/2006
",#4,1995000,1,0,1,0,0,0,0,1,0,0,1,225,487091.9063,65,146,126,208,261,205,125,77,197,133,79,137,168,148,131,142,33
23,1370,23,214 EAST 70TH   STREET,"08/11/2006
",#4,1995000,1,0,1,0,0,0,0,1,0,0,1,225,487091.9063,65,146,126,208,261,205,125,77,197,133,79,137,168,148,131,142,33
24,1370,24,214 EAST 70TH   STREET,"06/02/2005
",#3,1272812,1,0,1,0,0,0,0,1,0,0,1,225,487091.9063,65,146,126,208,261,205,125,77,197,133,79,137,168,148,131,142,33
25,1370,25,214 EAST 70TH   STREET,"06/02/2005
",#3,1272812,1,0,1,0,0,0,0,1,0,0,1,225,487091.9063,65,146,126,208,261,205,125,77,197,133,79,137,168,148,131,142,33
26,1370,26,214 EAST 70TH   STREET,"06/01/2007
",#3,1795000,1,0,1,0,0,0,0,1,0,0,1,225,487091.9063,65,146,126,208,261,205,125,77,197,133,79,137,168,148,131,142,33
27,1370,27,214 EAST 70TH   STREET,"06/01/2007
",#3,1795000,1,0,1,0,0,0,0,1,0,0,1,225,487091.9063,65,146,126,208,261,205,125,77,197,133,79,137,168,148,131,142,33
28,3723,28,334 EAST 77TH STREET,"05/26/2010
",#9,275000,1,0,0,1,0,0,0,0,0,1,0,375,1193588.875,266,300,341,303,271,251,296,223,196,252,256,416,437,574,593,444,36
29,3723,29,334 EAST 77TH STREET,"04/24/2010
",#9,296000,1,0,0,1,0,0,0,0,0,1,0,375,1193588.875,266,300,341,303,271,251,296,223,196,252,256,416,437,574,593,444,36
30,3723,30,334 EAST 77TH STREET,"02/17/2015
",#17,305000,1,0,0,1,0,0,0,0,0,1,0,375,1193588.875,266,300,341,303,271,251,296,223,196,252,256,416,437,574,593,444,36
31,3723,31,334 EAST 77TH STREET,"08/02/2014
",#17,309000,1,0,0,1,0,0,0,0,0,1,0,375,1193588.875,266,300,341,303,271,251,296,223,196,252,256,416,437,574,593,444,36
32,636,32,55 EAST 76 STREET,"04/17/2012
",#1D,495000,1,0,0,0,0,1,0,1,0,0,1,675,411744.9375,31,62,72,90,71,51,47,29,41,57,122,96,78,41,64,57,4
33,636,33,55 EAST 76 STREET,"02/16/2012
",#1D,525000,1,0,0,0,0,1,0,1,0,0,1,675,411744.9375,31,62,72,90,71,51,47,29,41,57,122,96,78,41,64,57,4
34,636,34,55 EAST 76 STREET,"09/25/2007
",#15,883000,1,0,0,0,0,1,0,1,0,0,1,675,411744.9375,31,62,72,90,71,51,47,29,41,57,122,96,78,41,64,57,4
35,636,35,55 EAST 76 STREET,"06/01/2005
",#15,762500,1,0,0,0,0,1,0,1,0,0,1,675,411744.9375,31,62,72,90,71,51,47,29,41,57,122,96,78,41,64,57,4
36,636,36,55 EAST 76 STREET,"05/15/2018
",#15,985000,1,0,0,0,0,1,0,1,0,0,1,675,411744.9375,31,62,72,90,71,51,47,29,41,57,122,96,78,41,64,57,4
37,636,37,55 EAST 76 STREET,"02/07/2017
",#15,1095000,1,0,0,0,0,1,0,1,0,0,1,675,411744.9375,31,62,72,90,71,51,47,29,41,57,122,96,78,41,64,57,4
38,636,38,55 EAST 76 STREET,"08/10/2016
",#15,1195000,1,0,0,0,0,1,0,1,0,0,1,675,411744.9375,31,62,72,90,71,51,47,29,41,57,122,96,78,41,64,57,4
39,636,39,55 EAST 76 STREET,"01/20/2016
",#15,1295000,1,0,0,0,0,1,0,1,0,0,1,675,411744.9375,31,62,72,90,71,51,47,29,41,57,122,96,78,41,64,57,4
40,636,40,55 EAST 76 STREET,"12/30/2017
",#14,995000,1,0,0,0,0,1,0,1,0,0,1,675,411744.9375,31,62,72,90,71,51,47,29,41,57,122,96,78,41,64,57,4
41,636,41,55 EAST 76 STREET,"07/21/2016
",#14,1305000,1,0,0,0,0,1,0,1,0,0,1,675,411744.9375,31,62,72,90,71,51,47,29,41,57,122,96,78,41,64,57,4
42,636,42,55 EAST 76 STREET,"06/01/2016
",#4,1462000,1,0,0,0,0,1,0,1,0,0,1,675,411744.9375,31,62,72,90,71,51,47,29,41,57,122,96,78,41,64,57,4
43,636,43,55 EAST 76 STREET,"02/13/2008
",#10,2346000,1,0,0,0,0,1,0,1,0,0,1,675,411744.9375,31,62,72,90,71,51,47,29,41,57,122,96,78,41,64,57,4
44,2742,44,103 EAST 101 STREET,"11/08/2002
",(House),620000,1,0,0,0,0,1,0,0,1,0,1,675,642140.4375,199,111,133,101,96,61,249,297,147,232,258,391,206,309,316,266,71
45,2742,45,103 EAST 101 STREET,"09/16/2005
",(House - 1 family),1593050,1,0,0,0,0,1,0,0,1,0,1,675,642140.4375,199,111,133,101,96,61,249,297,147,232,258,391,206,309,316,266,71
46,2742,46,103 EAST 101 STREET,"04/30/2015
",Unknown,1675000,1,0,0,0,0,1,0,0,1,0,1,675,642140.4375,199,111,133,101,96,61,249,297,147,232,258,391,206,309,316,266,71
47,2742,47,103 EAST 101 STREET,"06/10/2014
",Unknown,1675000,1,0,0,0,0,1,0,0,1,0,1,675,642140.4375,199,111,133,101,96,61,249,297,147,232,258,391,206,309,316,266,71
48,3004,48,122 EAST 101ST STREET,"11/18/2016
",Unknown,4495000,1,0,0,0,0,1,0,0,1,0,1,675,680333.0625,241,156,148,123,131,88,101,124,184,354,328,434,350,357,381,307,84
49,2855,49,101 EAST 101 STREET,"12/29/2014
",Unknown,1900000,1,0,0,0,0,1,0,0,1,0,1,675,642140.4375,197,108,132,101,95,61,247,297,148,236,265,401,216,326,337,310,72
50,1044,50,142 EAST END AVENUE,"11/14/2011
",Unknown,4100000,1,0,0,0,0,1,0,0,0,1,0,675,61005.02344,36,72,41,82,47,31,45,22,49,48,80,277,76,72,205,161,9
51,1044,51,142 EAST END AVENUE,"04/09/2014
",Unknown,8500000,1,0,0,0,0,1,0,0,0,1,0,675,61005.02344,36,72,41,82,47,31,45,22,49,48,80,277,76,72,205,161,9
52,1044,52,142 EAST END AVENUE,"03/28/2014
",Unknown,8500000,1,0,0,0,0,1,0,0,0,1,0,675,61005.02344,36,72,41,82,47,31,45,22,49,48,80,277,76,72,205,161,9
53,1044,53,142 EAST END AVENUE,"02/19/2013
",TOWNHOUSE,6500000,1,0,0,0,0,1,0,0,0,1,0,675,61005.02344,36,72,41,82,47,31,45,22,49,48,80,277,76,72,205,161,9
54,3073,54,124 EAST 101 STREET,"12/08/2006
",(House - 1 family),999750,1,0,0,0,0,1,0,0,1,0,1,675,680333.0625,243,160,150,125,137,98,106,125,185,366,334,441,362,360,394,315,85
55,3073,55,124 EAST 101 STREET,"08/01/2018
",(House - 1 family),4800000,1,0,0,0,0,1,0,0,1,0,1,675,680333.0625,243,160,150,125,137,98,106,125,185,366,334,441,362,360,394,315,85
56,1044,56,142 EAST END AVENUE,"09/29/2016
",(House - 1 family),6500000,1,0,0,0,0,1,0,0,0,1,0,675,61005.02344,36,72,41,82,47,31,45,22,49,48,80,277,76,72,205,161,9
57,1044,57,142 EAST END AVENUE,"10/27/2014
",Unknown,7995000,1,0,0,0,0,1,0,0,0,1,0,675,61005.02344,36,72,41,82,47,31,45,22,49,48,80,277,76,72,205,161,9
58,1044,58,142 EAST END AVENUE,"10/24/2015
",Unknown,7500000,1,0,0,0,0,1,0,0,0,1,0,675,61005.02344,36,72,41,82,47,31,45,22,49,48,80,277,76,72,205,161,9
59,567,59,68 EAST 93RD STREET,"11/16/2004
",#3R,499999,1,0,0,0,0,1,0,0,1,0,1,675,620171.75,30,38,39,67,42,22,59,23,64,46,98,88,50,40,47,39,13
60,567,60,68 EAST 93RD STREET,"10/26/2007
",#3R,672500,1,0,0,0,0,1,0,0,1,0,1,675,620171.75,30,38,39,67,42,22,59,23,64,46,98,88,50,40,47,39,13
61,567,61,68 EAST 93RD STREET,"06/07/2013
",#3R,750000,1,0,0,0,0,1,0,0,1,0,1,675,620171.75,30,38,39,67,42,22,59,23,64,46,98,88,50,40,47,39,13
62,567,62,68 EAST 93RD STREET,"01/04/2012
",#3R,818000,1,0,0,0,0,1,0,0,1,0,1,675,620171.75,30,38,39,67,42,22,59,23,64,46,98,88,50,40,47,39,13
63,567,63,68 EAST 93RD STREET,"05/17/2018
",#3R,880000,1,0,0,0,0,1,0,0,1,0,1,675,620171.75,30,38,39,67,42,22,59,23,64,46,98,88,50,40,47,39,13
64,567,64,68 EAST 93RD STREET,"02/19/2014
",#1A,650000,1,0,0,0,0,1,0,0,1,0,1,675,620171.75,30,38,39,67,42,22,59,23,64,46,98,88,50,40,47,39,13
65,567,65,68 EAST 93RD STREET,"03/19/2018
",#1R,1500000,1,0,0,0,0,1,0,0,1,0,1,675,620171.75,30,38,39,67,42,22,59,23,64,46,98,88,50,40,47,39,13
66,567,66,68 EAST 93RD STREET,"10/27/2009
",#5R,695000,1,0,0,0,0,1,0,0,1,0,1,675,620171.75,30,38,39,67,42,22,59,23,64,46,98,88,50,40,47,39,13
67,1576,67,364 EAST 69TH   STREET,"06/24/2015
","(House, 1-3 Family, with store/office)",4600000,1,0,0,1,0,0,0,0,0,1,0,375,471582.4375,136,182,155,288,149,164,116,92,176,118,148,154,221,202,198,122,29
68,1576,68,364 EAST 69TH   STREET,"06/29/1998
",(House),1355000,1,0,0,1,0,0,0,0,0,1,0,375,471582.4375,136,182,155,288,149,164,116,92,176,118,148,154,221,202,198,122,29
69,1576,69,364 EAST 69TH   STREET,"04/09/2002
",(House),2829000,1,0,0,1,0,0,0,0,0,1,0,375,471582.4375,136,182,155,288,149,164,116,92,176,118,148,154,221,202,198,122,29
70,1576,70,364 EAST 69TH   STREET,"02/12/2014
","(House, 1-3 Family, with store/office)",3555000,1,0,0,1,0,0,0,0,0,1,0,375,471582.4375,136,182,155,288,149,164,116,92,176,118,148,154,221,202,198,122,29
71,1576,71,364 EAST 69TH   STREET,"02/20/2014
",Unknown,4300000,1,0,0,1,0,0,0,0,0,1,0,375,471582.4375,136,182,155,288,149,164,116,92,176,118,148,154,221,202,198,122,29
72,1576,72,364 EAST 69TH   STREET,"06/24/2015
",#2,4795000,1,0,0,1,0,0,0,0,0,1,0,375,471582.4375,136,182,155,288,149,164,116,92,176,118,148,154,221,202,198,122,29
73,3212,73,259 EAST 78TH ST,"04/17/2009
",(House - 1 family),2050000,1,0,0,0,1,0,0,0,1,0,1,525,1298714.625,321,289,273,298,199,229,221,175,192,217,224,257,474,552,557,302,41
74,3935,74,307 EAST 87TH STREET,"07/27/1995
",(House),995000,1,1,0,0,0,0,0,0,1,1,0,75,1533471.375,292,264,370,236,290,228,252,216,292,282,383,443,725,602,430,272,38
75,3935,75,307 EAST 87TH STREET,"07/18/2018
",Unknown,5500000,1,1,0,0,0,0,0,0,1,1,0,75,1533471.375,292,264,370,236,290,228,252,216,292,282,383,443,725,602,430,272,38
76,937,76,133 EAST 94TH STREET,"08/28/2007
",(House - 1 family),4550000,1,0,0,0,1,0,1,0,0,0,1,525,742029.25,55,62,81,100,81,57,81,55,90,71,90,161,80,122,79,94,14
77,937,77,133 EAST 94TH STREET,"08/31/2018
",(House - 1 family),6998425,1,0,0,0,1,0,1,0,0,0,1,525,742029.25,55,62,81,100,81,57,81,55,90,71,90,161,80,122,79,94,14
78,3212,78,259 EAST 78TH ST,"07/24/2017
",(House - 1 family),4000000,1,0,0,0,1,0,0,0,1,0,1,525,1298714.625,321,289,273,298,199,229,221,175,192,217,224,257,474,552,557,302,41
79,843,79,558 EAST 87TH   STREET,"01/11/2017
",(House - 1 family),4495000,1,0,0,0,0,1,0,0,0,1,0,675,52742.43359,30,74,33,52,32,25,34,24,38,32,68,85,96,86,209,162,9
80,3212,80,259 EAST 78TH ST,"09/07/2016
",Unknown,4750000,1,0,0,0,1,0,0,0,1,0,1,525,1298714.625,321,289,273,298,199,229,221,175,192,217,224,257,474,552,557,302,41
81,876,81,127 EAST 62ND STREET,"10/19/2015
",Unknown,7995000,1,1,0,0,0,0,0,0,0,0,0,75,925763.8125,91,97,81,146,99,112,73,35,103,68,61,103,118,115,120,75,5
82,2481,82,161 EAST 82ND STREET,"06/22/2017
",(House - 1 family),7000000,1,0,0,1,0,0,0,0,1,0,1,375,1298140.875,145,191,254,200,170,108,193,166,118,219,212,231,288,381,311,296,66
83,1166,83,122 EAST 95TH   STREET,"05/04/2011
",(House - 1 family),5310000,1,0,0,0,1,0,1,0,0,0,1,525,682904.125,41,61,68,97,83,60,70,47,86,83,94,160,116,152,151,179,28
84,1624,84,340 EAST 69TH   STREET,"03/10/2008
",(House - 1 family),6000000,1,0,1,0,0,0,0,0,0,1,0,225,469401.4063,137,187,143,291,256,214,126,90,189,122,151,161,226,202,196,134,27
85,1166,85,122 EAST 95TH   STREET,"04/14/2016
",(House - 1 family),8250000,1,0,0,0,1,0,1,0,0,0,1,525,682904.125,41,61,68,97,83,60,70,47,86,83,94,160,116,152,151,179,28
86,2796,86,407 EAST 58TH   STREET,"01/26/1999
",(House),1540000,1,0,0,0,0,1,0,0,0,0,0,675,561683.375,106,219,259,209,203,138,182,94,152,191,163,275,302,367,178,867,25
87,2796,87,407 EAST 58TH   STREET,"08/14/2013
",(House - 2 family),3300000,1,0,0,0,0,1,0,0,0,0,0,675,561683.375,106,219,259,209,203,138,182,94,152,191,163,275,302,367,178,867,25
88,2796,88,407 EAST 58TH   STREET,"03/16/2015
",(House - 1 family),8150000,1,0,0,0,0,1,0,0,0,0,0,675,561683.375,106,219,259,209,203,138,182,94,152,191,163,275,302,367,178,867,25
89,1251,89,14 HENDERSON,"06/25/2018
",(House - 2 family),3450000,1,0,0,0,0,1,0,0,0,1,0,675,84242.92188,49,78,50,75,37,33,65,38,83,65,137,186,134,97,226,197,23
90,1604,90,232 EAST 68TH   STREET,"04/03/2017
",(House - 2 family),8000000,1,0,0,1,0,0,0,1,0,0,1,375,380684.5938,79,106,110,148,155,183,138,78,166,143,179,243,256,156,114,101,30
91,1538,91,334 EAST 69TH   STREET,"01/15/2018
",Unknown,5500000,1,0,1,0,0,0,0,0,0,1,0,225,488707.625,113,151,111,218,234,203,120,82,195,120,139,158,218,190,177,113,26
92,2597,92,239 EAST 78TH STREET,"03/01/2011
",(House - 2 family),5200000,1,0,0,0,1,0,0,1,0,0,1,525,1258429,244,218,226,250,167,197,190,146,174,222,214,203,426,424,320,240,38
93,973,93,134 EAST 95TH STREET,"06/29/2015
",(House - 2 family),5810000,1,0,0,1,0,0,1,0,0,0,1,375,702542.25,40,58,63,106,87,62,68,46,82,77,95,159,109,118,85,108,26
94,973,94,134 EAST 95TH STREET,"07/01/2015
",Unknown,6395000,1,0,0,1,0,0,1,0,0,0,1,375,702542.25,40,58,63,106,87,62,68,46,82,77,95,159,109,118,85,108,26
95,1538,95,334 EAST 69TH   STREET,"11/22/2011
",(House - 2 family),3425000,1,0,1,0,0,0,0,0,0,1,0,225,488707.625,113,151,111,218,234,203,120,82,195,120,139,158,218,190,177,113,26
96,1459,96,324 EAST 69TH STREET,"02/25/2004
",(House),2895000,1,0,1,0,0,0,0,0,1,1,0,225,488707.625,105,137,102,205,234,195,118,69,190,109,119,155,225,195,156,97,26
97,1459,97,324 EAST 69TH STREET,"05/24/2018
",(House - 2 family),4940500,1,0,1,0,0,0,0,0,1,1,0,225,488707.625,105,137,102,205,234,195,118,69,190,109,119,155,225,195,156,97,26
98,1459,98,324 EAST 69TH STREET,"08/16/2018
",Unknown,4990000,1,0,1,0,0,0,0,0,1,1,0,225,488707.625,105,137,102,205,234,195,118,69,190,109,119,155,225,195,156,97,26
99,1227,99,174 EAST 73RD   STREET,"11/09/2015
",Unknown,12900000,1,0,0,1,0,0,0,0,1,0,1,375,671442.5,145,164,124,127,105,87,96,60,85,110,120,110,149,191,188,104,14
100,2597,100,239 EAST 78TH STREET,"08/23/2016
",(House - 1 family),6075000,1,0,0,0,1,0,0,1,0,0,1,525,1258429,244,218,226,250,167,197,190,146,174,222,214,203,426,424,320,240,38
101,2597,101,239 EAST 78TH STREET,"08/21/2016
",Unknown,6650000,1,0,0,0,1,0,0,1,0,0,1,525,1258429,244,218,226,250,167,197,190,146,174,222,214,203,426,424,320,240,38
102,1147,102,178 EAST 64TH   STREET,"08/18/2010
",Unknown,15250000,1,1,0,0,0,0,0,0,1,0,1,75,818409.5,66,134,119,154,154,85,99,39,117,89,104,162,102,145,114,127,49
103,1147,103,178 EAST 64TH   STREET,"08/11/2009
",#HOUSE,15700000,1,1,0,0,0,0,0,0,1,0,1,75,818409.5,66,134,119,154,154,85,99,39,117,89,104,162,102,145,114,127,49
104,1147,104,178 EAST 64TH   STREET,"09/06/2011
",Unknown,15995000,1,1,0,0,0,0,0,0,1,0,1,75,818409.5,66,134,119,154,154,85,99,39,117,89,104,162,102,145,114,127,49
105,1604,105,232 EAST 68TH   STREET,"04/12/2017
",Unknown,8960000,1,0,0,1,0,0,0,1,0,0,1,375,380684.5938,79,106,110,148,155,183,138,78,166,143,179,243,256,156,114,101,30
106,1147,106,178 EAST 64TH   STREET,"06/17/1999
",(House),2710000,1,1,0,0,0,0,0,0,1,0,1,75,818409.5,66,134,119,154,154,85,99,39,117,89,104,162,102,145,114,127,49
107,1147,107,178 EAST 64TH   STREET,"11/26/1996
",(House),3800000,1,1,0,0,0,0,0,0,1,0,1,75,818409.5,66,134,119,154,154,85,99,39,117,89,104,162,102,145,114,127,49
108,1147,108,178 EAST 64TH   STREET,"04/09/2003
",(House),6250000,1,1,0,0,0,0,0,0,1,0,1,75,818409.5,66,134,119,154,154,85,99,39,117,89,104,162,102,145,114,127,49
109,1147,109,178 EAST 64TH   STREET,"01/06/2015
",(House - 2 family),12475000,1,1,0,0,0,0,0,0,1,0,1,75,818409.5,66,134,119,154,154,85,99,39,117,89,104,162,102,145,114,127,49
110,1147,110,178 EAST 64TH   STREET,"01/08/2015
",Unknown,12950000,1,1,0,0,0,0,0,0,1,0,1,75,818409.5,66,134,119,154,154,85,99,39,117,89,104,162,102,145,114,127,49
111,2858,111,178 EAST 95TH STREET,"04/04/2012
",#TH,5250000,1,0,1,0,0,0,1,0,0,0,1,225,756812.5625,117,144,129,209,201,92,188,75,172,239,383,580,477,263,298,159,24
112,2858,112,178 EAST 95TH STREET,"06/13/2016
",(House - 1 family),6000000,1,0,1,0,0,0,1,0,0,0,1,225,756812.5625,117,144,129,209,201,92,188,75,172,239,383,580,477,263,298,159,24
113,2858,113,178 EAST 95TH STREET,"06/16/2016
",Unknown,6495000,1,0,1,0,0,0,1,0,0,0,1,225,756812.5625,117,144,129,209,201,92,188,75,172,239,383,580,477,263,298,159,24
114,2858,114,178 EAST 95TH STREET,"10/31/2000
",Unknown,2725000,1,0,1,0,0,0,1,0,0,0,1,225,756812.5625,117,144,129,209,201,92,188,75,172,239,383,580,477,263,298,159,24
115,1709,115,246 EAST 68TH   STREET,"12/16/2015
",(House - 1 family),5850000,1,0,0,1,0,0,0,0,1,0,1,375,380684.5938,80,119,121,150,154,185,148,80,169,141,189,257,282,172,130,111,30
116,2428,116,159 EAST 82ND STREET,"06/02/2017
",#0 (House - 1 family),7000000,1,0,0,1,0,0,0,0,1,0,1,375,1298140.875,142,187,252,198,163,103,193,163,115,206,204,229,281,373,310,290,64
117,2428,117,159 EAST 82ND STREET,"06/06/2017
",Unknown,15000000,1,0,0,1,0,0,0,0,1,0,1,375,1298140.875,142,187,252,198,163,103,193,163,115,206,204,229,281,373,310,290,64
118,1693,118,167 EAST 79TH STREET,"07/13/2016
","(House, 1-3 Family, with store/office)",7100000,1,0,0,0,0,1,0,1,0,0,1,675,1000065.688,130,78,107,68,106,72,119,63,102,111,297,210,174,315,150,135,17
119,1693,119,167 EAST 79TH STREET,"07/18/2016
",Unknown,7900000,1,0,0,0,0,1,0,1,0,0,1,675,1000065.688,130,78,107,68,106,72,119,63,102,111,297,210,174,315,150,135,17
120,1516,120,219 EAST 72 STREET,"06/08/2000
",(House),2760000,1,1,0,0,0,0,0,0,1,0,1,75,719749.9375,234,221,160,247,315,219,143,103,230,103,87,122,202,188,171,134,33
121,1516,121,219 EAST 72 STREET,"09/10/2003
",(House),3300000,1,1,0,0,0,0,0,0,1,0,1,75,719749.9375,234,221,160,247,315,219,143,103,230,103,87,122,202,188,171,134,33
122,1516,122,219 EAST 72 STREET,"04/10/2013
",(House - 2 family),6000000,1,1,0,0,0,0,0,0,1,0,1,75,719749.9375,234,221,160,247,315,219,143,103,230,103,87,122,202,188,171,134,33
123,1516,123,219 EAST 72 STREET,"09/27/2017
",Unknown,6100000,1,1,0,0,0,0,0,0,1,0,1,75,719749.9375,234,221,160,247,315,219,143,103,230,103,87,122,202,188,171,134,33
124,1159,124,177 EAST 64TH   STREET,"08/03/2016
",(House - 1 family),8450000,1,1,0,0,0,0,0,0,1,0,1,75,818409.5,65,134,119,155,154,85,99,39,117,92,106,166,102,148,114,127,49
125,620,125,130 EAST 64TH STREET,"05/15/2014
",Unknown,8750000,1,1,0,0,0,0,0,0,1,0,1,75,831165.0625,34,54,56,100,58,77,51,37,63,46,43,76,80,65,54,61,44
126,1159,126,177 EAST 64TH   STREET,"02/19/2016
",Unknown,9500000,1,1,0,0,0,0,0,0,1,0,1,75,818409.5,65,134,119,155,154,85,99,39,117,92,106,166,102,148,114,127,49
127,1159,127,177 EAST 64TH   STREET,"09/15/2015
",Unknown,9500000,1,1,0,0,0,0,0,0,1,0,1,75,818409.5,65,134,119,155,154,85,99,39,117,92,106,166,102,148,114,127,49
128,1153,128,147 EAST 63RD STREET,"01/27/2006
",(House - 1 family),4586062,1,1,0,0,0,0,0,0,1,0,0,75,920616.625,66,92,97,144,131,70,69,32,94,99,86,165,122,168,149,127,42
129,1153,129,147 EAST 63RD STREET,"10/13/2017
",(House - 1 family),10300000,1,1,0,0,0,0,0,0,1,0,0,75,920616.625,66,92,97,144,131,70,69,32,94,99,86,165,122,168,149,127,42
130,1062,130,116 EAST 61ST   STREET,"01/25/2013
",Unknown,18000000,1,0,1,0,0,0,0,0,0,0,0,225,922661.6875,125,135,133,167,102,119,70,33,99,72,65,156,213,132,143,74,5
131,620,131,130 EAST 64TH STREET,"06/28/1999
",(House),2300000,1,1,0,0,0,0,0,0,1,0,1,75,831165.0625,34,54,56,100,58,77,51,37,63,46,43,76,80,65,54,61,44
132,620,132,130 EAST 64TH STREET,"03/22/2004
",(House),4950000,1,1,0,0,0,0,0,0,1,0,1,75,831165.0625,34,54,56,100,58,77,51,37,63,46,43,76,80,65,54,61,44
133,620,133,130 EAST 64TH STREET,"06/30/2015
",(House - 1 family),6750000,1,1,0,0,0,0,0,0,1,0,1,75,831165.0625,34,54,56,100,58,77,51,37,63,46,43,76,80,65,54,61,44
134,620,134,130 EAST 64TH STREET,"08/31/2015
",Unknown,6850000,1,1,0,0,0,0,0,0,1,0,1,75,831165.0625,34,54,56,100,58,77,51,37,63,46,43,76,80,65,54,61,44
135,1062,135,116 EAST 61ST   STREET,"04/02/2004
",(House),4150,1,0,1,0,0,0,0,0,0,0,0,225,922661.6875,125,135,133,167,102,119,70,33,99,72,65,156,213,132,143,74,5
